-A,-s,-C,-B,-a,-b,-r,-x,-t,S,-Q,-P,X,-R,-q,-c,-p,T
-A,-C,-B,-r,T,-t,S,-Q,-P,-s,-R,X,-x,-p,q,a,b,c
-A,-C,-B,-r,-x,-t,S,-Q,-P,X,-R,-q,-p,T,s,a,b,c
-A,-s,-C,-B,-a,-b,-r,-t,S,-Q,-P,X,-R,-q,T,p,x,c
A,C,B,-s,-c,-t,-b,-T,-Q,-P,-S,-R,-X,p,q,r,x,a
-A,-C,-B,-q,-b,-r,T,-t,S,-Q,-P,-s,-R,X,-a,-x,-p,c
-A,-s,-C,-B,-a,-b,-r,-t,S,-Q,-P,X,-R,-q,-p,T,x,c
-A,-s,-C,-B,-a,-t,S,-Q,-P,X,-R,-q,-c,-p,T,r,x,b
-A,-s,-C,-B,-a,-b,-r,S,-Q,-P,X,-R,-q,-x,T,p,t,c
-A,-C,-B,-q,T,-t,S,-Q,-P,-s,-R,X,-x,-p,r,a,b,c
A,C,B,-a,-s,-c,-t,-b,-T,-Q,-P,-S,-R,-X,p,q,r,x
A,C,B,-a,-c,-t,-b,-x,-T,-Q,-P,-S,-R,-X,p,q,r,s
-A,-s,-C,-B,-b,-r,-t,S,-Q,-P,X,-R,-q,-c,T,p,x,a
-A,-c,-C,-B,-q,-r,T,-t,S,-Q,-P,-s,-R,X,-a,-p,x,b
-A,-c,-C,-B,-a,-b,-t,S,-Q,-P,-R,X,-x,T,p,q,r,s
-A,-s,-C,-B,-b,-r,-x,S,-Q,-P,X,-R,-q,-c,-p,T,t,a
-A,-C,-B,-a,-b,-x,-t,S,-Q,-P,X,-R,-q,-p,T,r,s,c
-A,-c,-C,-B,-b,-x,-t,S,-Q,-P,X,-R,-q,-p,T,r,s,a
A,C,B,-a,-s,-c,-t,-b,-x,-T,-Q,-P,-S,-R,-X,p,q,r
-A,-s,-C,-B,-a,-b,-r,-t,S,-Q,-P,X,-R,-q,-c,T,p,x
-A,-C,-B,-q,T,-t,S,-Q,-P,-s,-R,X,-p,r,x,a,b,c
-A,-s,-C,-T,-B,-x,Q,P,R,-q,-p,-S,-r,-b,-c,-X,t,a
-A,-s,-C,-B,-a,-b,-r,-x,-t,S,-Q,-P,X,-R,-q,-p,T,c
-A,-c,-C,-B,-q,-b,-r,T,S,-Q,-P,-s,-R,X,-a,-x,-p,t
-A,-s,-C,-B,-r,-t,S,-Q,-P,X,-R,-q,-p,T,x,a,b,c
-A,-s,-C,-B,-a,-b,-r,-x,S,-Q,-P,X,-R,-q,-c,-p,T,t
A,C,B,-a,-s,-c,-b,-x,-T,-Q,-P,-S,-R,-X,p,q,r,t
-A,-C,-B,-q,-b,-r,T,S,-Q,-P,-s,-R,X,-a,-x,-p,t,c
-A,-c,-C,-B,-q,-b,-r,T,S,-Q,-P,-s,-R,X,-x,-p,t,a
-A,-C,-B,-q,T,S,-Q,-P,-s,-R,X,-x,-p,r,t,a,b,c
-A,-c,-C,-B,-q,-b,-r,T,-t,S,-Q,-P,-s,-R,X,-x,-p,a
