-A,-C,-B,-t,S,-Q,-P,-s,-R,X,T,p,q,r,x,a,b,c
-A,-c,-C,-B,-b,-r,-t,S,-Q,-P,X,-R,-q,-x,T,p,s,a
-A,-c,-C,-B,-a,-b,-r,-t,S,-Q,-P,X,-R,-q,-x,T,p,s
-A,-c,-C,-B,-q,-b,-r,T,-t,S,-Q,-P,-s,-R,X,-p,x,a
-A,-c,-C,-B,-a,-b,-r,-x,-t,S,-Q,-P,X,-R,-q,-p,T,s
-A,-s,-C,-B,-a,-b,-x,S,-Q,-P,X,-R,-q,-c,-p,T,r,t
-A,-C,-B,-a,-b,-r,-t,S,-Q,-P,X,-R,-q,-x,T,p,s,c
-A,-s,-C,-B,-a,-b,-r,-x,S,-Q,-P,X,-R,-q,-p,T,t,c
-A,-s,-C,-B,-r,-x,S,-Q,-P,X,-R,-q,-p,T,t,a,b,c
A,C,B,-a,-s,-t,-b,-r,-x,-T,-Q,-P,-S,-R,-q,-X,p,c
-A,-s,-C,-B,-b,-x,S,-Q,-P,X,-R,-q,-c,-p,T,r,t,a
-A,-s,-C,-B,-a,-r,-t,S,-Q,-P,X,-R,-q,-c,-p,T,x,b
-A,-s,-C,-B,-a,-x,-t,S,-Q,-P,X,-R,-q,-c,-p,T,r,b
-A,-s,-C,-B,-a,-r,-t,S,-Q,-P,X,-R,-q,-c,T,p,x,b
-A,-c,-C,-B,-a,-r,T,-t,S,-Q,-P,-s,-R,X,-p,q,x,b
-A,-c,-C,-B,-a,-x,-t,S,-Q,-P,X,-R,-q,-p,T,r,s,b
A,C,B,-a,-t,-b,-x,-T,-Q,-P,-S,-R,-X,p,q,r,s,c
A,C,B,-a,-s,-t,-b,-x,-T,-Q,-P,-S,-R,-c,-X,p,q,r
A,C,B,-c,-b,-T,-Q,-P,-S,-R,-q,-X,-p,r,s,t,x,a
-A,-C,-B,-q,T,-t,S,-Q,-P,-R,X,-x,-p,r,s,a,b,c
-A,-C,-B,-r,T,-t,S,-Q,-P,-R,X,-x,-p,q,s,a,b,c
A,C,B,-s,-t,-b,-T,-Q,-P,-S,-R,-c,-X,p,q,r,x,a
A,C,B,-a,-s,-b,-x,-T,-Q,-P,-S,-R,-X,p,q,r,t,c
-A,-s,-C,-B,-r,-t,S,-Q,-P,X,-R,-q,-x,T,p,a,b,c
-A,-s,-C,-T,-B,-t,Q,P,R,-q,-p,-S,-r,-b,-c,-X,x,a
-A,-s,-C,-B,-a,-r,-x,-t,S,-Q,-P,X,-R,-q,-c,-p,T,b
-A,-c,-C,-B,-b,-r,-x,-t,S,-Q,-P,X,-R,-q,-p,T,s,a
-A,-s,-C,-B,-a,-b,-r,-t,S,-Q,-P,X,-R,-q,-c,-x,T,p
-A,-s,-C,-B,-a,-b,-x,-t,S,-Q,-P,X,-R,-q,-c,-p,T,r
-A,-c,-C,-B,-b,-r,T,-t,S,-Q,-P,-s,-R,X,-x,-p,q,a
-A,-c,-C,-B,-a,-t,S,-Q,-P,-R,X,-x,T,p,q,r,s,b
-A,-C,-B,-a,-b,-r,T,-t,S,-Q,-P,-s,-R,X,-x,-p,q,c
A,C,B,-a,-s,-t,-b,-x,-T,-Q,-P,-S,-R,-X,p,q,r,c
A,C,B,-s,-c,-b,-x,-T,-Q,-P,-S,-R,-X,p,q,r,t,a
-A,-C,-B,-r,T,S,-Q,-P,-s,-R,X,-x,-p,q,t,a,b,c
-A,-s,-C,-B,-a,-b,-x,-t,S,-Q,-P,X,-R,-q,-p,T,r,c
-A,-s,-C,-B,-a,-r,-x,S,-Q,-P,X,-R,-q,-c,-p,T,t,b
-A,-s,-C,-B,-a,-b,-r,-t,S,-Q,-P,X,-R,-q,-x,T,p,c
A,C,B,-a,-s,-c,-t,-T,-Q,-P,-S,-R,-X,p,q,r,x,b
-A,-s,-C,-B,-b,-r,-x,-t,S,-Q,-P,X,-R,-q,-c,-p,T,a
A,C,B,-c,-t,-b,-x,-T,-Q,-P,-S,-R,-X,p,q,r,s,a
A,C,B,-a,-c,-b,-T,-Q,-P,-S,-R,-q,-X,-p,r,s,t,x
-A,-c,-C,-B,-a,-b,-r,T,-t,S,-Q,-P,-s,-R,X,-x,-p,q
A,C,B,-s,-c,-t,-b,-x,-T,-Q,-P,-S,-R,-X,p,q,r,a
-A,-c,-C,-B,-a,-r,-t,S,-Q,-P,X,-R,-q,-x,T,p,s,b
-A,-C,-B,-a,-b,-r,T,-t,S,-Q,-P,-s,-R,X,-p,q,x,c
A,C,B,-s,-t,-b,-x,-T,-Q,-P,-S,-R,-c,-X,p,q,r,a
-A,-C,-B,-a,-b,-t,S,-Q,-P,-R,X,-x,T,p,q,r,s,c
-A,-s,-C,-B,-a,-r,-t,S,-Q,-P,X,-R,-q,-c,-x,T,p,b
-A,-C,-B,-a,-b,-r,T,S,-Q,-P,-s,-R,X,-x,-p,q,t,c
-A,-s,-C,-B,-a,-b,-r,S,-Q,-P,X,-R,-q,-c,-x,T,p,t
-A,-s,-C,-B,-a,-b,-t,S,-Q,-P,X,-R,-q,-p,T,r,x,c
A,C,B,-a,-s,-t,-b,-T,-Q,-P,-S,-R,-X,p,q,r,x,c
-A,-t,-C,-T,-b,-B,-x,Q,P,R,-q,-p,-S,-r,-a,-X,s,c
-A,-c,-C,-B,-a,-r,-x,-t,S,-Q,-P,X,-R,-q,-p,T,s,b
-A,-s,-C,-T,-B,-x,Q,P,R,-q,-p,-S,-r,-b,-X,-a,t,c
A,C,B,-a,-c,-t,-x,-T,-Q,-P,-S,-R,-X,p,q,r,s,b
-A,-c,-C,-B,-b,-r,T,S,-Q,-P,-s,-R,X,-x,-p,q,t,a
-A,-s,-C,-T,-B,-t,Q,P,R,-q,-p,-S,-r,-a,-c,-X,x,b
-A,-s,-C,-B,-a,-b,-r,-t,S,-Q,-P,X,-R,-q,-c,-p,T,x
-A,-s,-C,-B,-r,-x,-t,S,-Q,-P,X,-R,-q,-p,T,a,b,c
-A,-c,-C,-B,-a,-b,-x,-t,S,-Q,-P,X,-R,-q,-p,T,r,s
A,C,B,-a,-s,-t,-b,-T,-Q,-P,-S,-R,-c,-X,p,q,r,x
-A,-c,-C,-B,-a,-t,S,-Q,-P,-s,-R,X,T,p,q,r,x,b
-A,-s,-C,-B,-b,-r,-t,S,-Q,-P,X,-R,-q,-c,-p,T,x,a
-A,-C,-B,-r,T,-t,S,-Q,-P,-s,-R,X,-p,q,x,a,b,c
A,C,B,-a,-s,-c,-t,-x,-T,-Q,-P,-S,-R,-X,p,q,r,b
-A,-s,-C,-B,-a,-x,S,-Q,-P,X,-R,-q,-c,-p,T,r,t,b
-A,-s,-C,-B,-a,-b,-x,S,-Q,-P,X,-R,-q,-p,T,r,t,c
-A,-C,-B,-a,-b,-r,-x,-t,S,-Q,-P,X,-R,-q,-p,T,s,c
